index,title,certificate,genre,runtime,rating
3878,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
3879,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
3880,Pieces of a Woman,18,Drama,126 min,7
3881,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
3882,Run,16,"Mystery, Thriller",90 min,6.7
3883,The Way Back,R,"Drama, Sport",108 min,6.7
3884,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
3885,Nomadland,UA,Drama,107 min,7.3
3886,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
3887,Unhinged,A,"Action, Thriller",90 min,6
3888,Becky,R,"Action, Crime, Drama",93 min,5.9
3889,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
3890,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
3891,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
3892,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
3893,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
3894,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
3895,Greenland,UA,"Action, Thriller",119 min,6.4
3896,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
3897,Kol,16,"Crime, Horror, Mystery",112 min,7.1
3898,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
3899,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
3900,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
3901,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
3902,365 dni,A,"Drama, Romance",114 min,3.3
3903,The Father,UA,"Drama, Mystery",97 min,8.2
3904,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
3905,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
3906,Hamilton,12+,"Biography, Drama, History",160 min,8.3
3907,After We Collided,18,"Drama, Romance",105 min,5
3908,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
3909,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
3910,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
3911,Extraction,18,"Action, Thriller",116 min,6.7
3912,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
3913,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
3914,Druk,16,"Comedy, Drama",117 min,7.7
3915,The Old Guard,18,"Action, Thriller",125 min,6.6
3916,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
3917,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
3918,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
3919,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
3920,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
3921,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
3922,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
3923,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
3924,De slag om de Schelde,18,"Drama, War",124 min,7.1
3925,Soul,U,"Animation, Adventure, Comedy",100 min,8
3926,Greyhound,A,"Action, Drama, History",91 min,7
3927,Minari,UA,Drama,115 min,7.4
3928,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
3929,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
3930,Pieces of a Woman,18,Drama,126 min,7
3931,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
3932,Run,16,"Mystery, Thriller",90 min,6.7
3933,The Way Back,R,"Drama, Sport",108 min,6.7
3934,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
3935,Nomadland,UA,Drama,107 min,7.3
3936,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
3937,Unhinged,A,"Action, Thriller",90 min,6
3938,Becky,R,"Action, Crime, Drama",93 min,5.9
3939,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
3940,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
3941,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
3942,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
3943,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
3944,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
3945,Greenland,UA,"Action, Thriller",119 min,6.4
3946,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
3947,Kol,16,"Crime, Horror, Mystery",112 min,7.1
3948,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
3949,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
3950,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
3951,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
3952,365 dni,A,"Drama, Romance",114 min,3.3
3953,The Father,UA,"Drama, Mystery",97 min,8.2
3954,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
3955,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
3956,Hamilton,12+,"Biography, Drama, History",160 min,8.3
3957,After We Collided,18,"Drama, Romance",105 min,5
3958,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
3959,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
3960,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
3961,Extraction,18,"Action, Thriller",116 min,6.7
3962,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
3963,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
3964,Druk,16,"Comedy, Drama",117 min,7.7
3965,The Old Guard,18,"Action, Thriller",125 min,6.6
3966,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
3967,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
3968,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,A,"Action, Comedy, Crime",109 min,6
3969,2 Hearts,PG-13,"Drama, Romance",101 min,6.3
3970,Enola Holmes,13,"Action, Adventure, Crime",123 min,6.6
3971,I'm Thinking of Ending Things,16,"Drama, Thriller",134 min,6.6
3972,Mulan,12+,"Action, Adventure, Drama",115 min,5.7
3973,Monster Hunter,UA,"Action, Adventure, Fantasy",103 min,5.2
3974,De slag om de Schelde,18,"Drama, War",124 min,7.1
3975,Soul,U,"Animation, Adventure, Comedy",100 min,8
3976,Greyhound,A,"Action, Drama, History",91 min,7
3977,Minari,UA,Drama,115 min,7.4
3978,The Invisible Man,A,"Drama, Horror, Mystery",124 min,7.1
3979,Eurovision Song Contest: The Story of Fire Saga,PG-13,"Comedy, Music",123 min,6.5
3980,Pieces of a Woman,18,Drama,126 min,7
3981,Bill & Ted Face the Music,U,"Adventure, Comedy, Music",91 min,5.9
3982,Run,16,"Mystery, Thriller",90 min,6.7
3983,The Way Back,R,"Drama, Sport",108 min,6.7
3984,Palm Springs,A,"Comedy, Fantasy, Mystery",90 min,7.4
3985,Nomadland,UA,Drama,107 min,7.3
3986,Kimetsu no Yaiba: Mugen Ressha-Hen,UA,"Animation, Action, Adventure",117 min,8.2
3987,Unhinged,A,"Action, Thriller",90 min,6
3988,Becky,R,"Action, Crime, Drama",93 min,5.9
3989,The King of Staten Island,A,"Comedy, Drama",136 min,7.1
3990,The Trial of the Chicago 7,18,"Drama, History, Thriller",129 min,7.7
3991,The New Mutants,A,"Action, Horror, Mystery",94 min,5.3
3992,We Can Be Heroes,7,"Action, Comedy, Drama",100 min,4.7
3993,Fantasy Island,A,"Fantasy, Horror, Mystery",109 min,4.9
3994,Emma.,UA 13+,"Comedy, Drama, Romance",124 min,6.7
3995,Greenland,UA,"Action, Thriller",119 min,6.4
3996,The Night House,A,"Horror, Mystery, Thriller",107 min,6.5
3997,Kol,16,"Crime, Horror, Mystery",112 min,7.1
3998,Underwater,15+,"Action, Horror, Sci-Fi",95 min,5.9
3999,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
4000,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
4001,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
4002,365 dni,A,"Drama, Romance",114 min,3.3
4003,The Father,UA,"Drama, Mystery",97 min,8.2
4004,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
4005,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
4006,Hamilton,12+,"Biography, Drama, History",160 min,8.3
4007,After We Collided,18,"Drama, Romance",105 min,5
4008,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
4009,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
4010,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
4011,Extraction,18,"Action, Thriller",116 min,6.7
4012,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
4013,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
4014,Druk,16,"Comedy, Drama",117 min,7.7
4015,The Old Guard,18,"Action, Thriller",125 min,6.6
4016,Let Him Go,R,"Crime, Drama, Thriller",113 min,6.7
4017,Wonder Woman 1984,UA,"Action, Adventure, Fantasy",151 min,5.4
