index,title,certificate,genre,runtime,rating
4199,Bad Boys for Life,A,"Action, Comedy, Crime",124 min,6.5
4200,The Babysitter: Killer Queen,18,"Comedy, Horror",101 min,5.8
4201,Tenet,UA,"Action, Sci-Fi, Thriller",150 min,7.3
4202,365 dni,A,"Drama, Romance",114 min,3.3
4203,The Father,UA,"Drama, Mystery",97 min,8.2
4204,Promising Young Woman,A,"Crime, Drama, Mystery",113 min,7.5
4205,The Hunt,R,"Action, Horror, Thriller",90 min,6.5
4206,Hamilton,12+,"Biography, Drama, History",160 min,8.3
4207,After We Collided,18,"Drama, Romance",105 min,5
4208,A Quiet Place Part II,A,"Drama, Horror, Sci-Fi",97 min,7.2
4209,Sonic the Hedgehog,U,"Action, Adventure, Comedy",99 min,6.5
4210,Boss Level,None,"Action, Adventure, Comedy",100 min,6.8
4211,Extraction,18,"Action, Thriller",116 min,6.7
4212,The Devil All the Time,18,"Crime, Drama, Thriller",138 min,7.1
4213,Freaky,R,"Comedy, Horror, Thriller",102 min,6.3
4214,Druk,16,"Comedy, Drama",117 min,7.7
4215,The Old Guard,18,"Action, Thriller",125 min,6.6
