index,title,certificate,genre,runtime,rating
3005,CODA,A,"Comedy, Drama, Music",111 min,8
3006,F9,UA,"Action, Crime, Thriller",143 min,5.2
3007,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
3008,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
3009,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
3010,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
3011,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
3012,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
3013,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
3014,The Fallout,A,Drama,96 min,7
3015,The Black Phone,A,"Horror, Thriller",103 min,6.9
3016,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
3017,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
3018,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
3019,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
3020,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
3021,Encanto,U,"Animation, Comedy, Family",102 min,7.2
3022,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
