index,title,certificate,genre,runtime,rating
2687,The Last Duel,A,"Action, Drama, History",152 min,7.4
2688,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2689,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2690,The Power of the Dog,16,"Drama, Western",126 min,6.8
2691,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2692,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2693,Pig,R,"Drama, Mystery",92 min,6.9
2694,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2695,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2696,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2697,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2698,Silent Hours,None,"Crime, Thriller",156 min,5.2
2699,Boiling Point,R,"Drama, Thriller",92 min,7.5
2700,The Road Dance,None,Drama,116 min,7
2701,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2702,Nobody,A,"Action, Crime, Drama",92 min,7.4
2703,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
2704,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
2705,CODA,A,"Comedy, Drama, Music",111 min,8
2706,F9,UA,"Action, Crime, Thriller",143 min,5.2
2707,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
2708,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
2709,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
2710,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
2711,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
2712,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
2713,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
2714,The Fallout,A,Drama,96 min,7
2715,The Black Phone,A,"Horror, Thriller",103 min,6.9
2716,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
2717,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
2718,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
2719,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
2720,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
2721,Encanto,U,"Animation, Comedy, Family",102 min,7.2
2722,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
2723,Old,UA,"Drama, Horror, Mystery",108 min,5.8
2724,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
2725,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
2726,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
2727,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
2728,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
2729,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
2730,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
2731,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
2732,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
2733,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
2734,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
2735,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
2736,Pleasure,R,Drama,109 min,6.4
2737,The Last Duel,A,"Action, Drama, History",152 min,7.4
2738,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2739,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2740,The Power of the Dog,16,"Drama, Western",126 min,6.8
2741,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2742,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2743,Pig,R,"Drama, Mystery",92 min,6.9
2744,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2745,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2746,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2747,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2748,Silent Hours,None,"Crime, Thriller",156 min,5.2
2749,Boiling Point,R,"Drama, Thriller",92 min,7.5
2750,The Road Dance,None,Drama,116 min,7
2751,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2752,Nobody,A,"Action, Crime, Drama",92 min,7.4
2753,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
2754,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
2755,CODA,A,"Comedy, Drama, Music",111 min,8
2756,F9,UA,"Action, Crime, Thriller",143 min,5.2
2757,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
2758,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
2759,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
2760,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
2761,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
2762,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
2763,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
2764,The Fallout,A,Drama,96 min,7
2765,The Black Phone,A,"Horror, Thriller",103 min,6.9
2766,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
2767,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
2768,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
2769,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
2770,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
2771,Encanto,U,"Animation, Comedy, Family",102 min,7.2
2772,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
2773,Old,UA,"Drama, Horror, Mystery",108 min,5.8
2774,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
2775,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
2776,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
2777,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
2778,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
2779,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
2780,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
2781,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
2782,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
2783,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
